FID,ID,NAME,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,LATITUDE,LONGITUDE,LINES,MAX_VOLT,MIN_VOLT,MAX_INFER,MIN_INFER
2618,306393,UNKNOWN306393,NOTREES,TX,79745,SUBSTATION,NOT AVAILABLE,WINKLER,31.997628,-102.833514,1,138,69,Y,Y
3120,306400,UNKNOWN306400,WEATHERFORD,TX,76085,SUBSTATION,IN SERVICE,PARKER,32.781161,-97.796584,2,138,138,Y,Y
2620,306403,UNKNOWN306403,CHANNELVIEW,TX,77530,SUBSTATION,IN SERVICE,HARRIS,29.752223,-95.128936,2,138,69,N,N
2621,306406,UNKNOWN306406,FORSAN,TX,79739,SUBSTATION,NOT AVAILABLE,GLASSCOCK,31.956677,-101.301694,0,345,69,Y,Y
2622,306413,UNKNOWN306413,TUCKER,TX,75855,SUBSTATION,IN SERVICE,LEON,31.594427,-95.763788,3,138,69,Y,Y
2627,306423,UNKNOWN306423,STERLING CITY,TX,76951,SUBSTATION,IN SERVICE,STERLING,31.911043,-100.993619,1,138,69,N,N
3429,306431,UNKNOWN306431,ALTON,TX,78573,SUBSTATION,IN SERVICE,HIDALGO,26.359604,-98.315306,2,138,138,N,Y
2633,306445,UNKNOWN306445,GRAND PRAIRIE,TX,75051,SUBSTATION,NOT AVAILABLE,DALLAS,32.719972,-97.03143,0,138,-999999,Y,N
2634,306449,UNKNOWN306449,SEGNO,TX,77351,SUBSTATION,IN SERVICE,POLK,30.583076,-94.747617,2,138,69,Y,Y
2635,306454,UNKNOWN306454,FORT WORTH,TX,76110,SUBSTATION,NOT AVAILABLE,TARRANT,32.692082,-97.329276,1,138,-999999,Y,N
2637,306457,UNKNOWN306457,HEMPSTEAD,TX,77445,SUBSTATION,IN SERVICE,WALLER,30.076622,-96.08321,4,138,69,N,N
3891,309879,UNKNOWN309879,DAYTON,TX,77535,SUBSTATION,NOT AVAILABLE,LIBERTY,30.104103,-94.99551,1,69,-999999,Y,N
3892,309880,PANDA,JOEL,TX,79045,SUBSTATION,IN SERVICE,DEAF SMITH,34.847962,-102.315517,1,115,69,N,N
3893,309885,UNKNOWN309885,PLAINS,TX,79355,SUBSTATION,IN SERVICE,YOAKUM,33.167986,-102.801963,3,115,69,N,N
5097,306468,UNKNOWN306468,SUNSET,TX,76270,NOT AVAILABLE,NOT AVAILABLE,WISE,33.431723,-97.842152,3,138,138,Y,Y
5178,306476,UNKNOWN306476,TYLER,TX,75704,SUBSTATION,IN SERVICE,SMITH,32.463803,-95.455983,1,138,138,Y,Y
2642,306477,UNKNOWN306477,MONT BELVIEU,TX,77523,SUBSTATION,NOT AVAILABLE,CHAMBERS,29.857339,-94.915815,0,345,-999999,Y,N
3438,306478,UNKNOWN306478,BRIDGEPORT,TX,76426,NOT AVAILABLE,NOT AVAILABLE,WISE,33.264735,-97.79407,3,138,138,Y,Y
2648,306497,UNKNOWN306497,SAN ANGELO,TX,76903,SUBSTATION,IN SERVICE,TOM GREEN,31.450112,-100.427164,9,138,69,N,N
2650,306501,UNKNOWN306501,ALBANY,TX,76430,SUBSTATION,NOT AVAILABLE,SHACKELFORD,32.54183,-99.538694,1,138,69,Y,Y
2653,306510,UNKNOWN306510,LA PORTE,TX,77507,SUBSTATION,IN SERVICE,HARRIS,29.64766,-95.055415,2,138,69,N,N
2656,306517,UNKNOWN306517,RAYMONDVILLE,TX,78580,SUBSTATION,IN SERVICE,WILLACY,26.460954,-97.750595,4,138,69,N,N
